year,make,tested
2010,LAVERDA,560
2010,GILERA,605
2010,GAS GAS,620
2010,SUNBEAM,628
2010,HUSQVARNA,675
2010,LAMBRETTA,781
2010,CAGIVA,798
2010,MV AGUSTA,871
2010,MZ,1417
2010,CCM,1670
2010,AJS,1676
2010,VELOCETTE,1717
2010,MATCHLESS,1813
2010,BUELL,2268
2010,ROYAL ENFIELD,3141
2010,PIAGGIO,4134
2010,NORTON,4430
2010,MOTO GUZZI,4487
2010,KTM,7756
2010,BSA,7917
2010,APRILIA,9941
2010,DUCATI,14343
2010,UNCLASSIFIED,31205
2010,HARLEY-DAVIDSON,33385
2010,BMW,41482
2010,TRIUMPH,50953
2010,KAWASAKI,80750
2010,YAMAHA,107449
2010,SUZUKI,123616
2010,HONDA,157629
2011,ADLY,1
2011,AEON,1
2011,ALFA ROMEO,1
2011,AUSTIN,1
2011,BATAVUS,1
2011,BATISTINIS,1
2011,BITELLI,1
2011,BOMBARDIER,1
2011,BOND,1
2011,BRANSON,1
2011,CARBODIES,1
2011,CHANG MING,1
2011,CHUNLAN,1
2011,DAKAR,1
2011,DI BLASSI,1
2011,ERF,1
2011,FACTORY,1
2011,FARBOUD,1
2011,FEIYING,1
2011,GARELLI,1
2011,HONGYANG,1
2011,HONGYI,1
2011,HY-MAC LTD,1
2011,IRIS.BUS,1
2011,ISUZU,1
2011,IVECO,1
2011,JORDAN,1
2011,KEEN,1
2011,LAMBORGHINI,1
2011,LEXUS,1
2011,MAGNI,1
2011,MAN / VW,1
2011,MCC,1
2011,MCCORMICK,1
2011,MEGELLI,1
2011,MERCURY,1
2011,MG,1
2011,MINI,1
2011,MOBYLETTE,1
2011,MOTOBECANE,1
2011,MOTOR HISPANIA,1
2011,NECHT,1
2011,NEW HOLLAND,1
2011,PRAGA,1
2011,RANSOME,1
2011,REGENT,1
2011,RILEY,1
2011,SAME,1
2011,SKODA,1
2011,SMITHS,1
2011,SONIK,1
2011,SUMOTO,1
2011,SUZUKO,1
2011,TAISHAN,1
2011,TRIGANO,1
2011,VOR,1
2011,VOXAN,1
2011,WINGET,1
2011,WOLSELEY,1
2011,XINGYUE,1
2011,ZHONGNENG,1
2011,AJP,2
2011,BMC,2
2011,CAN-AM,2
2011,CHAMP,2
2011,DACIA,2
2011,DEMM,2
2011,DINLI,2
2011,HYUNDAI,2
2011,KIA,2
2011,LONCIN,2
2011,SANBEN,2
2011,SD,2
2011,SINSKI,2
2011,TOMOS,2
2011,URBAN,2
2011,VERTEMATI,2
2011,Z Y MOTOR,2
2011,BAJAJ,3
2011,BRITISH TRACKSTAR,3
2011,COVENTRY CLIMAX,3
2011,DIRT PRO,3
2011,GIANTCO,3
2011,HIMO,3
2011,JINCHENG,3
2011,LONGJIA,3
2011,MARSHALL,3
2011,MAXUS,3
2011,RELIANT,3
2011,VOLVO,3
2011,YUAN,3
2011,ZENNCO,3
2011,GEELY,4
2011,LANCIA,4
2011,POLARIS,4
2011,SANYA,4
2011,SINGER,4
2011,SKYTEAM,4
2011,SMC,4
2011,ZNEN,4
2011,BAROSSA,5
2011,DAYANG,5
2011,HUATIAN,5
2011,JONWAY,5
2011,KINLON,5
2011,MAZDA,5
2011,MITSUBISHI,5
2011,NORTON VILLIERS,5
2011,BETTER,6
2011,CHITUMA,6
2011,HARTFORD,6
2011,MOTO ROMA,6
2011,PGO,6
2011,TAMORETTI,6
2011,TOYOTA,6
2011,VULCAN,6
2011,YIYING,6
2011,BASHAN,7
2011,DAJIANG,7
2011,FIAT,7
2011,RIEJU,7
2011,SKYJET,7
2011,XINLING,7
2011,YIBEN MEIDUC,7
2011,AUDI,8
2011,GENERIC,8
2011,LAND ROVER,8
2011,MERCEDES,8
2011,WANGYE,8
2011,WHITE KNUCKLE,8
2011,HAOTIAN,9
2011,LML,9
2011,ROVER,9
2011,CLASSIC CUSTOM,10
2011,SHINERAY,10
2011,CITROEN,11
2011,HUONIAO,11
2011,JIALING,11
2011,VOLKSWAGEN,11
2011,NISSAN,12
2011,POR,12
2011,CF MOTO,13
2011,EBRO,13
2011,HONGDOU,13
2011,KAISAR,13
2011,DAELIM,14
2011,FANTIC MOTOR,14
2011,HUMBER,14
2011,KINROAD,14
2011,PUCH,14
2011,RENAULT,14
2011,EASY RIDER,15
2011,CPI,16
2011,VECTRIX,16
2011,FYM,17
2011,SKYGO,17
2011,TAIWAN GOLDEN BEE,19
2011,TM,19
2011,QINGQI,20
2011,BAOTIAN,21
2011,ITALJET,21
2011,SIAMOTO,21
2011,ZONGSHEN,21
2011,NSU,22
2011,SUPERBYKE,23
2011,PIONEER,26
2011,KANUNI,27
2011,FORD,33
2011,KEEWAY,33
2011,MBK,33
2011,NORTON VILL. TRIUMPH,33
2011,SHERCO,33
2011,SCORPA,34
2011,MORINI,35
2011,SUKIDA,36
2011,MALAGUTI,37
2011,COSSACK,39
2011,VAUXHALL,39
2011,RALEIGH,47
2011,GREEVES,49
2011,INDIAN,52
2011,CZ,54
2011,DERBI,57
2011,BULTACO,64
2011,MOTO MORINI,65
2011,JAMES,78
2011,NEVAL,85
2011,LIFAN,91
2011,URAL,112
2011,BIMOTA,116
2011,MONTESA,117
2011,JINLUN,123
2011,SACHS,145
2011,KYMCO,146
2011,SYM,146
2011,VESPA (DOUGLAS),174
2011,JAWA,179
2011,BETA,230
2011,VICTORY,255
2011,HUSABERG,260
2011,DOUGLAS,263
2011,PANTHER,271
2011,PEUGEOT,317
2011,BENELLI,408
2011,GAS GAS,504
2011,HYOSUNG,504
2011,LAVERDA,511
2011,HUSQVARNA,585
2011,GILERA,594
2011,SUNBEAM,600
2011,CAGIVA,673
2011,LAMBRETTA,678
2011,MV AGUSTA,801
2011,MZ,1156
2011,CCM,1429
2011,AJS,1527
2011,VELOCETTE,1574
2011,MATCHLESS,1605
2011,BUELL,2137
2011,ROYAL ENFIELD,3117
2011,NORTON,3999
2011,PIAGGIO,4224
2011,MOTO GUZZI,4426
2011,BSA,7214
2011,KTM,7553
2011,APRILIA,9958
2011,DUCATI,13761
2011,UNCLASSIFIED,30941
2011,HARLEY-DAVIDSON,32084
2011,BMW,39036
2011,TRIUMPH,49723
2011,KAWASAKI,75212
2011,YAMAHA,99702
2011,SUZUKI,117403
2011,HONDA,145945
